Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch
Tuesday,16:00-17:00,C002,CS162,Optimization,Dr. Dibyajyoti Guha,Tutorial,ECE
Tuesday,16:00-17:00,C003, CS163,Data Structures and Algorithms,Dr. Sunil Saumya,Lecture,DSAI
Tuesday,16:00-17:00,C004,CS462,Computer Graphics,Dr. Vivekraj V K,Tutorial,CSE
Tuesday,16:00-17:00,C304,DS355,Data Analytics and Visualization,Dr. Sunil CK,Lecture,CSE
Tuesday,16:00-17:00,C104, DS351,Statistics for Health Technology,Dr. Ramesh Athe,Tutorial,ECE
Tuesday,17:00-17:30,,,Snack Break,,Break,
Wednesday,09:00-10:00,C002,CS162,Optimization,Dr. Dibyajyoti Guha,Lecture,ECE
Wednesday,09:00-10:00,C204,PH353,Quantum HPC and AI,Dr. Manish M (Dr. Aswath),Lecture,CSE
Wednesday,09:00-10:00,C304,ASD351,Design Thinking and Innovation,Dr. Sandesh P,Tutorial,ECE
Wednesday,09:00-10:00,C305,CS310,Database Management System,Dr. Shirshendu and Dr. Utkarsh Khaire,Lecture,DSAI
Wednesday,09:00-10:00,C202,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE
Wednesday,09:00-10:00,L208,DS204,Software Engineering and Services,Dr. Animesh Chaturvedi,Practical,DSAI
Wednesday,10:00-11:00,C302,DS357,Large Languange Models,Dr. Sunil S,Tutorial,CSE
Wednesday,10:00-11:00,C304,ASD351,Design Thinking and Innovation,Dr. Sandesh P,Lecture,ECE
Wednesday,10:00-11:00,C202,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE
Wednesday,11:00-12:00,C302,CS165,Mathematical foundations of Computing,Dr. Animesh Roy,Lecture,CSE
Wednesday,11:00-12:00,C303, CS163,Data Structures and Algorithms,Dr. Sunil Saumya,Lecture,DSAI
Wednesday,11:00-12:00,C304,ASD351,Design Thinking and Innovation,Dr. Sandesh P,Lecture,ECE
Wednesday,11:00-12:00,C202,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE
Wednesday,12:00-13:00,C003,CS458,Natural Language Processing,Dr. Krishnendu,Lecture,ECE
Wednesday,12:00-13:00,C004,PH352,Quantum Communication,Dr. Aswath B,Lecture,CSE
Wednesday,12:00-13:00,C302,CS310,Database Management System,Dr. Shirshendu and Dr. Utkarsh Khaire,Lecture,DSAI
Wednesday,12:00-13:00,C304,CS204,Operating Systems,Dr. Manjunath K V,Lecture,DSAI
Wednesday,12:00-13:00,L206,CS164,Computer Architecture,Dr.Jagadish D N,Practical,ECE
Wednesday,12:00-13:00,L105,CS204,Operating System,Dr. Suvadip Hazra/ Dr. Malay/ Dr. Dibyajyothi,Practical,CSE
Wednesday,13:00-14:00,,,Lunch Break,,Break,
Wednesday,14:00-15:00,C002,EC205,Control Systems,Dr. Pankaj Kumar,Lecture,ECE
Wednesday,14:00-15:00,C302,DS357,Large Languange Models,Dr. Sunil S,Lecture,CSE
Wednesday,14:00-15:00,C304,EC162,Network Analysis,Dr. Sibasankar Padhy,Lecture,ECE
Wednesday,14:00-15:00,L206,CS164,Computer Architecture,Dr.Jagadish D N,Practical,ECE
Wednesday,15:00-16:00,C002,CS307,Machine Learning,Dr. Deepak K T,Lecture,ECE
Wednesday,15:00-16:00,C003,CS458,Natural Language Processing,Dr. Krishnendu,Lecture,ECE
Wednesday,15:00-16:00,C004,PH352,Quantum Communication,Dr. Aswath B,Lecture,CSE
Wednesday,15:00-16:00,C204,CS365,Model Checking,Dr. Pavan,Lecture,CSE
Wednesday,15:00-16:00,C302,DS357,Large Languange Models,Dr. Sunil S,Lecture,CSE
Wednesday,15:00-16:00,C304,CS206,Theory of Computation,Dr. Pavan/ Dr. Sunil C K,Tutorial,CSE
Wednesday,15:00-16:00,C206,DS309,Cloud Computing,Dr. Animesh Chaturvedi,Lecture,DSAI
Wednesday,15:00-16:00,L106,CS310,Database Management System,Dr. Shirshendu and Dr. Utkarsh Khaire,Practical,DSAI
Wednesday,16:00-17:00,C002,EC451,Microwave Engineering,Dr. Somen,Lecture,CSE
Wednesday,16:00-17:00,C003,HS204 / HS153,Economics/ Innovation and Entrepreneurship,Dr. Anushree Kini/ Dr.Deepak k T/,Tutorial,CSE
Wednesday,16:00-17:00,C302,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Lecture,CSE
Wednesday,16:00-17:00,C304,CS204,Operating Systems,Dr. Manjunath K V,Tutorial,DSAI
Wednesday,16:00-17:00,C203,DS308,Data Security and Privacy,Dr. Abdul Wahid & Dr. Rajendra Hegadi,Tutorial,DSAI
Wednesday,16:00-17:00,C101,CS471,Deep Computer Vision,Chinmayanand,Lecture,CSE
Wednesday,16:00-17:00,L107,EC205,Control Systems,Dr. Pankaj Kumar,Practical,ECE
Wednesday,16:00-17:00,L105,CS204,Operating System,Dr. Suvadip Hazra/ Dr. Malay/ Dr. Dibyajyothi,Practical,CSE
Wednesday,17:00-17:30,,,Snack Break,,Break,
Thursday,09:00-10:00,C003,HS206,Industrial Social Psychology,Dr. Navyashree,Lecture,DSAI
Thursday,09:00-10:00,C204,DS307,Innovation and Entrepreneurship,Mr. Ram Subramanian ( Course Coordinator: Dr.  Manjunath KV),Lecture,DSAI
Thursday,09:00-10:00,C304,EC361,Introduction to 5G Network,Dr. Jagadeesha R Bhat,Lecture,DSAI
Thursday,09:00-10:00,C305,DS306,Financial Data Analytics,Dr.Utkarsh Khaire,Lecture,DSAI
Thursday,09:00-10:00,L208,DS204,Software Engineering and Services,Dr. Animesh Chaturvedi,Practical,DSAI
Thursday,09:00-10:00,L206,DS164,Data Curation Techniques,Dr. Siddharth R.,Practical,DSAI
Thursday,10:00-11:00,C004,CS462,Computer Graphics,Dr. Vivekraj V K,Lecture,CSE
Thursday,10:00-11:00,C304,CS206,Theory of Computation,Dr. Pavan/ Dr. Sunil C K,Lecture,CSE
Thursday,10:00-11:00,C305,DS205,Global Business Perspectives,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),Lecture,DSAI
Thursday,10:00-11:00,C206,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),Lecture,ECE
Thursday,11:00-12:00,C002,CS455,Blockchain Technology,Dr. Rajendra H,Lecture,CSE
Thursday,11:00-12:00,C004,CS462,Computer Graphics,Dr. Vivekraj V K,Lecture,CSE
Thursday,11:00-12:00,C304,DS358,Deep Speech Processing,Prof. SRM Prasanna,Lecture,DSAI
Thursday,11:00-12:00,C305,HS204,Economics,Dr.Anushree K,Lecture,ECE
Thursday,11:00-12:00,C101,CS471,Deep Computer Vision,Chinmayanand,Lecture,CSE
Thursday,11:00-12:00,C202,CS301,Software Engineering,Dr. Vivekraj V K/ Dr. Sunil Kumar P V,Tutorial,CSE
Thursday,12:00-13:00,C002,EC451,Microwave Engineering,Dr. Somen,Lecture,CSE
Thursday,12:00-13:00,C302,DS357,Large Languange Models,Dr. Sunil S,Lecture,CSE
Thursday,12:00-13:00,C304,DS355,Data Analytics and Visualization,Dr. Sunil CK,Lecture,CSE
Thursday,12:00-13:00,C305,EC310,Embedded Systems Design,Dr. Prakash Pawar,Lecture,ECE
Thursday,12:00-13:00,L207,CS163,Data Structures and Algorithms,Dr. Prabhu Prasad,Practical,ECE
Thursday,13:00-14:00,,,Lunch Break,,Break,
Thursday,14:00-15:00,C302,EC205,Control Systems,Dr. Pankaj Kumar,Lecture,ECE
Thursday,14:00-15:00,C304,CS163,Data Structures and Algorithms,Dr. Prabhu Prasad,Lecture,ECE
Thursday,14:00-15:00,C305,DS306,Financial Data Analytics,Dr.Utkarsh Khaire,Lecture,DSAI
Thursday,14:00-15:00,C203,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),Tutorial,ECE
Thursday,14:00-15:00,C104, DS351,Statistics for Health Technology,Dr. Ramesh Athe,Lecture,ECE
Thursday,14:00-15:00,L208,CS307,Machine Learning,Dr. Girish G N/ Dr. Krishnendu Ghosh,Practical,CSE
Thursday,15:00-16:00,C002,CS162,Optimization,Dr. Dibyajyoti Guha,Lecture,ECE
Thursday,15:00-16:00,C003,HS206,Industrial Social Psychology,Dr. Navyashree,Lecture,DSAI
Thursday,15:00-16:00,C304,EC361,Introduction to 5G Network,Dr. Jagadeesha R Bhat,Lecture,DSAI
Thursday,15:00-16:00,C305,EC310,Embedded Systems Design,Dr. Prakash Pawar,Tutorial,ECE
Thursday,15:00-16:00,C101,CS471,Deep Computer Vision,Chinmayanand,Lecture,CSE
Thursday,15:00-16:00,C104,EC205,Control Systems,Dr. Pankaj Kumar,Lecture,ECE
Thursday,16:00-17:00,C003,CS464,Deep Learning for Computer Vision ,Dr. Chinmayanand,Lecture,DSAI
Thursday,16:00-17:00,C304,EC361,Introduction to 5G Network,Dr. Jagadeesha R Bhat,Tutorial,DSAI
Thursday,16:00-17:00,C305,EC310,Embedded Systems Design,Dr. Prakash Pawar,Lecture,ECE
Thursday,16:00-17:00,C104,DS356,Medical Image Analysis,Dr. Girish GN,Lecture,CSE
Thursday,16:00-17:00,L105,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),Practical,ECE
Thursday,17:00-17:30,,,Snack Break,,Break,
Friday,09:00-10:00,C204,CS365,Model Checking,Dr. Pavan,Lecture,CSE
Friday,09:00-10:00,C302,CS165,Mathematical foundations of Computing,Dr. Animesh Roy,Lecture,CSE
Friday,09:00-10:00,C304,DS204,Software Engineering and Services,Dr. Animesh Chaturvedi,Lecture,DSAI
Friday,09:00-10:00,C305,EC310,Embedded Systems Design,Dr. Prakash Pawar,Lecture,ECE
Friday,09:00-10:00,L105,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),Practical,ECE
Friday,10:00-11:00,C002,CS307,Machine Learning,Dr. Deepak K T,Lecture,ECE
Friday,10:00-11:00,C003,HS206,Industrial Social Psychology,Dr. Navyashree,Lecture,DSAI
Friday,10:00-11:00,C204,CS365,Model Checking,Dr. Pavan,Lecture,CSE
Friday,10:00-11:00,C304,MA163,Linear Algebra,Dr. Sibasankar Padhy/ Dr Somen Bhattacharjee,Lecture,CSE
Friday,11:00-12:00,C002,DS164,Data Curation Techniques,Dr. Siddharth R.,Lecture,DSAI
Friday,11:00-12:00,C003,CS458,Natural Language Processing,Dr. Krishnendu,Lecture,ECE
Friday,11:00-12:00,C204,DS307,Innovation and Entrepreneurship,Mr. Ram Subramanian ( Course Coordinator: Dr.  Manjunath KV),Tutorial,DSAI
Friday,11:00-12:00,C304,EC162,Network Analysis,Dr. Sibasankar Padhy,Lecture,ECE
Friday,11:00-12:00,C203,DS308,Data Security and Privacy,Dr. Abdul Wahid & Dr. Rajendra Hegadi,Lecture,DSAI
Friday,11:00-12:00,C102,EC307,Wireless Communication,Dr. Rajib Sharma/ Dr. Rao (Lab),Lecture,ECE
Friday,12:00-13:00,C003,CS464,Deep Learning for Computer Vision ,Dr. Chinmayanand,Lecture,DSAI
Friday,12:00-13:00,C302, HS161,English Language and Communication,Dr. Rajesh N S,Lecture,DSAI
Friday,12:00-13:00,C304,DS355,Data Analytics and Visualization,Dr. Sunil CK,Lecture,CSE
Friday,12:00-13:00,C102,EC307,Wireless Communication,Dr. Rajib Sharma/ Dr. Rao (Lab),Lecture,ECE
Friday,12:00-13:00,C104, DS351,Statistics for Health Technology,Dr. Ramesh Athe,Lecture,ECE
Friday,13:00-14:00,,,Lunch Break,,Break,
Friday,14:00-15:00,C002,CS163,Data Structures and Algorithms,Dr. Prabhu Prasad,Lecture,ECE
Friday,14:00-15:00,C303,CS164,Computer Architecture,Dr.Jagadish D N,Lecture,ECE
Friday,14:00-15:00,C102, CS164,Computer Architecture,Dr. Manjunath,Lecture,DSAI
Friday,14:00-15:00,C202,CS301,Software Engineering,Dr. Vivekraj V K/ Dr. Sunil Kumar P V,Lecture,CSE
Friday,15:00-16:00,C002,CS307,Machine Learning,Dr. Deepak K T,Lecture,ECE
Friday,15:00-16:00,C003,CS464,Deep Learning for Computer Vision ,Dr. Chinmayanand,Lecture,DSAI
Friday,15:00-16:00,C302,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Lecture,CSE
Friday,15:00-16:00,C304,DS358,Deep Speech Processing,Prof. SRM Prasanna,Lecture,DSAI
Friday,15:00-16:00,C102,EC307,Wireless Communication,Dr. Rajib Sharma/ Dr. Rao (Lab),Lecture,ECE
Friday,15:00-16:00,C202,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),Lecture,ECE
Friday,16:00-17:00,C003,CS458,Natural Language Processing,Dr. Krishnendu,Tutorial,ECE
Friday,16:00-17:00,C302,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Tutorial,CSE
Friday,16:00-17:00,C304,MA163,Linear Algebra,Dr. Sibasankar Padhy/ Dr Somen Bhattacharjee,Lecture,CSE
Friday,16:00-17:00,C101, CS164,Computer Architecture,Dr. Manjunath,Lecture,DSAI
Friday,16:00-17:00,C202,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K                                              (Dr Sibasankar Padhy),Lecture,CSE
Friday,17:00-17:30,,,Snack Break,,Break,
